"date","album","artist","index"
1995-06-10,"Tales From The Hood","Soundtrack",0
1995-06-17,"Poverty s Paradise","Naughty By Nature",0
1995-07-08,"HIStory: Past, Present And Future Book 1","Michael Jackson",0
1995-07-22,"Operation Stackola","Luniz",0
1995-08-05,"The Show, The After Party, The Hotel","Jodeci",0
1995-08-12,"E. 1999 Eternal","Bone Thugs-N-Harmony",0
1995-09-02,"The Show","Soundtrack",0
1995-10-14,"4,5,6","Kool G Rap",0
1995-10-21,"Daydream","Mariah Carey",0
1995-10-28,"Doe Or Die","AZ",0
1995-11-04,"Dead Presidents","Soundtrack",0
1995-11-18,"Dogg Food","Tha Dogg Pound",0
1995-12-02,"R. Kelly","R. Kelly",0
1995-12-16,"Waiting To Exhale","Soundtrack",0
1996-02-17,"Str8 Off Tha Streetz Of Muthaphu**in Compton","Eazy-E",0
1996-03-02,"All Eyez On Me","2Pac",0
1996-03-23,"The Score","Fugees",834
1996-04-13,"The Coming","Busta Rhymes",0
1996-04-20,"The Resurrection","Geto Boys",0
1996-05-11,"Sunset Park","Soundtrack",0
1996-06-08,"Gettin It (Album Number Ten)","Too Short",0
1996-06-15,"Gettin' It (Album Number Ten)","Too Short",0
1996-06-22,"Legal Drug Money","Lost Boyz",0
1996-06-29,"The Nutty Professor","Soundtrack",0
1996-07-06,"Secrets","Toni Braxton",0
1996-07-13,"Keith Sweat","Keith Sweat",0
1996-07-20,"It Was Written","Nas",0
1996-08-17,"Beats, Rhymes And Life","A Tribe Called Quest",0
1996-09-14,"ATLiens","OutKast",0
1996-09-28,"Home Again","New Edition",0
1996-10-05,"Another Level","BLACKstreet",0
1996-11-09,"Bow Down","Westside Connection",0
1996-11-16,"Ironman","Ghostface Killah",0
1996-11-23,"The Don Killuminati: The 7 Day Theory","Makaveli",0
1996-11-30,"Tha Doggfather","Snoop Dogg",0
1996-12-07,"Hell On Earth","Mobb Deep",0
1996-12-28,"Muddy Waters","Redman",0
1997-01-04,"The Preacher s Wife","Soundtrack",0
1997-02-01,"Rhyme","Soundtrack",0
1997-02-15,"Gridlock d","Soundtrack",0
1997-03-01,"Baduizm","Erykah Badu",879
1997-03-29,"The Untouchable","Scarface",0
1997-04-12,"Life After Death","The Notorious B.I.G.",885
1997-05-10,"Share My World","Mary J. Blige",0
1997-06-07,"I m Bout It","Soundtrack",0
1997-06-14,"God s Property","God s Property From Kirk Franklin s Nu Nation",0
1997-06-28,"Wu-Tang Forever","Wu-Tang Clan",898
1997-08-02,"Supa Dupa Fly","Missy Misdemeanor Elliott",878
1997-08-09,"No Way Out","Puff Daddy",0
1997-08-16,"The Art Of War","Bone Thugs-N-Harmony",0
1997-09-20,"Ghetto D","Master P",0
1997-10-04,"When Disaster Strikes...","Busta Rhymes",0
1997-10-11,"Evolution","Boyz II Men",0
1997-10-18,"Soul Food","Soundtrack",0
1997-10-25,"Gang Related -- The Soundtrack","Soundtrack",0
1997-11-08,"The Firm -- The Album","NAS Escobar, Foxy Brown, AZ And Nature",0
1997-11-15,"Harlem World","Mase",0
1997-11-22,"The 18th Letter","Rakim",0
1997-11-29,"Unpredictable","Mystikal",0
1997-12-06,"Live","Erykah Badu",0
1997-12-13,"R U Still Down? [Remember Me]","2Pac",0
1998-01-10,"My Way","Usher",0
1998-01-31,"Money, Power","The Lox",0
1998-02-07,"All I Have In This World, Are... My Balls And My Word","Young Bleed",0
1998-02-14,"Anytime","Brian McKnight",0
1998-03-07,"Charge It 2 Da Game","Silkk The Shocker",0
1998-03-21,"My Homies","Scarface",0
1998-04-04,"Life Or Death","C-Murder",0
1998-04-11,"The Pillage","Cappadonna",0
1998-04-18,"Moment Of Truth","Gang Starr",941
1998-04-25,"I Got The Hook-Up!","Soundtrack",0
1998-05-16,"Capital Punishment","Big Punisher",0
1998-05-23,"There s One In Every Family","Fiend",0
1998-06-06,"It s Dark And Hell Is Hot","DMX",0
1998-06-20,"MP Da Last Don","Master P",0
1998-07-18,"El Nino","Def Squad",0
1998-07-25,"Am I My Brothers Keeper","Kane",0
1998-08-01,"N.O.R.E.","Noreaga",0
1998-08-08,"Jermaine Dupri Presents -- Life In 1472 The Original Soundtrack","Jermaine Dupri",0
1998-08-22,"Da Game Is To Be Sold, Not To Be Told","Snoop Dogg",0
1998-09-12,"The Miseducation Of Lauryn Hill","Lauryn Hill",914
1998-10-17,"Vol. 2... Hard Knock Life","Jay-Z",0
1998-11-28,"R.","R. Kelly",0
1998-12-05,"Tical 2000: Judgement Day","Method Man",0
1998-12-12,"Greatest Hits","2Pac",0
1998-12-26,"Doc s Da Name 2000","Redman",0
1999-01-02,"Ghetto Fabulous","Mystikal",0
1999-01-09,"Flesh Of My Flesh Blood Of My Blood","DMX",0
1999-02-06,"Made Man","Silkk The Shocker",0
1999-02-13,"Chyna Doll","Foxy Brown",0
1999-03-06,"Da Next Level","Mr. Serv-on",0
1999-03-13,"Fanmail","TLC",983
1999-03-27,"Bossalinie","C-Murder",0
1999-04-10,"The Slim Shady LP","Eminem",978
1999-04-24,"I Am...","NAS",0
1999-05-15,"Ruff Ryders: Ryde Or Die Vol. 1","Various Artists",0
1999-05-29,"No Limit Top Dogg","Snoop Dogg",0
1999-06-05,"In Our Lifetime","Eightball",0
1999-06-12,"The Art Of Storytelling","Slick Rick",0
1999-06-19,"Venni Vetti Vecci","Ja Rule",0
1999-07-10,"Da Real World","Missy Misdemeanor Elliott",0
1999-07-17,"Beneath The Surface","GZA/Genius",0
1999-07-24,"Street Life","Fiend",0
1999-07-31,"Can t Stay Away","Too Short",0
1999-08-14,"Guerrilla Warfare","Hot Boys",0
1999-08-21,"Coming Of Age","Memphis Bleek",0
1999-08-28,"Violator The Album","Various Artists",0
1999-09-04,"Mary","Mary J. Blige",973
1999-09-11,"Forever","Puff Daddy",0
1999-10-02,"Let There Be... EVE--Ruff Ryders First Lady","Eve",0
1999-10-16,"Blackout!","Method Man/Redman",0
1999-11-13,"Only God Can Judge Me","Master P",0
1999-11-20,"Tha Block Is Hot","Lil Wayne",0
1999-12-04,"Dr. Dre -- 2001","Dr. Dre",0
1999-12-25,"Born Again","The Notorious B.I.G.",0
2000-01-01,"Tha G-Code","Juvenile",0
2000-01-08,"...And Then There Was X","DMX",0
2000-01-15,"Vol. 3... Life And Times Of S. Carter","Jay-Z",0
2000-02-05,"J.E. Heartbreak","Jagged Edge",0
2000-02-12,"Voodoo","D Angelo",998
2000-03-18,"BTNHResurrection","Bone Thugs-N-Harmony",0
2000-03-25,"Life Story","Black Rob",0
2000-04-08,"War","Ice Cube",0
2000-04-15,"Romeo Must Die -- The Album","Soundtrack",0
2000-04-22,"Yeeeah Baby","Big Punisher",0
2000-04-29,"Unrestricted","Da Brat",0
2000-05-06,"My Name Is Joe","Joe",0
2000-05-13,"The Heat","Toni Braxton",0
2000-05-20,"Goodfellas","504 Boyz",0
2000-06-03,"I Got That Work","Big Tymers",0
2000-06-10,"The Marshall Mathers LP","Eminem",996
2000-07-08,"Anarchy","Busta Rhymes",0
2000-07-15,"The Notorious KIM","Lil Kim",0
2000-07-22,"Ryde Or Die Vol. II","Various Artists",0
2000-07-29,"Nutty Professor II: The Klumps","Soundtrack",0
2000-08-05,"Country Grammar","Nelly",0
2000-09-16,"DJ Clue Presents: Backstage -- Mixtape (Music Inspired By The Film)","DJ Clue",0
2000-09-23,"Trapped In Crime","C-Murder",0
2000-09-30,"G.O.A.T. Featuring James T. Smith: The Greatest Of All Time","LL Cool J",0
2000-10-14,"Let s Get Ready","Mystikal",0
2000-10-28,"Rule 3:36","Ja Rule",0
2000-11-18,"The Dynasty Roc La Familia (2000 -- )","Jay-Z",0
2000-11-25,"tp-2.com","R. Kelly",0
2000-12-09,"The W","Wu-Tang Clan",0
2000-12-23,"The Understanding","Memphis Bleek",0
2000-12-30,"Restless","Xzibit",0
2001-01-06,"Tha Last Meal","Snoop Dogg",0
2001-02-03,"Hotshot","Shaggy",0
2001-02-10,"J.Lo","Jennifer Lopez",0
2001-03-17,"DJ Clue? The Professional 2","DJ Clue",0
2001-03-24,"Scorpion","Eve",0
2001-03-31,"Force Of Nature","Tank",0
2001-04-07,"Part III","112",0
2001-04-14,"Until The End Of Time","2Pac",0
2001-05-12,"All For You","Janet",0
2001-05-19,"Survivor","Destiny's Child",0
2001-06-02,"Miss E...So Addictive","Missy Misdemeanor Elliott",0
2001-06-09,"Malpractice","Redman",0
2001-06-23,"Free City","St. Lunatics",0
2001-07-07,"Devil's Night","D-12",0
2001-07-14,"Songs In A Minor","Alicia Keys",1050
2001-08-25,"Eternal","The Isley Brothers Featuring Ronald Isley AKA Mr. Biggs",0
2001-09-08,"Now","Maxwell",0
2001-09-15,"No More Drama","Mary J. Blige",1072
2001-09-29,"The Blueprint","Jay-Z",1039
2001-10-20,"Pain Is Love","Ja Rule",0
2001-11-10,"The Great Depression","DMX",0
2001-11-17,"Invincible","Michael Jackson",0
2001-12-15,"Word Of Mouf","Ludacris",0
2001-12-29,"Infamy","Mobb Deep",0
2002-01-05,"Stillmatic","Nas",0
2002-02-16,"State Property","Soundtrack",0
2002-02-23,"J To Tha L-O! The Remixes","Jennifer Lopez",0
2002-03-09,"The Rebirth Of Kirk Franklin","Kirk Franklin",0
2002-03-23,"Full Moon","Brandy",0
2002-03-30,"B2K","B2K",0
2002-04-06,"The Best Of Both Worlds","R. Kelly & Jay-Z",0
2002-04-20,"Ashanti","Ashanti",0
2002-05-18,"Hood Rich","Big Tymers",0
2002-05-25,"Juslisen (Just Listen)","Musiq",0
2002-06-01,"Come Home With Me","Cam'ron",0
2002-06-08,"The Eminem Show","Eminem",1080
2002-07-13,"Nellyville","Nelly",0
2002-08-10,"500 Degreez","Lil Wayne",0
2002-08-24,"The Fix","Scarface",1103
2002-09-07,"Lord Willin'","Clipse",0
2002-09-14,"Eve-olution","Eve",0
2002-10-05,"Ludacris Presents Disturbing Tha Peace: Golden Grain","Various Artists",0
2002-10-12,"Voyage To India","India.Arie",0
2002-10-19,"Man vs Machine","Xzibit",0
2002-11-02,"10","LL Cool J",0
2002-11-16,"8 Mile","Soundtrack",0
2002-11-30,"The Blueprint 2: The Gift And The Curse","Jay-Z",0
2002-12-14,"Better Dayz","2Pac",0
2002-12-28,"I Care 4 U","Aaliyah",0
2003-01-04,"God's Son","Nas",0
2003-02-22,"Get Rich Or Die Tryin'","50 Cent",1127
2003-03-08,"Chocolate Factory","R. Kelly",0
2003-04-12,"Diplomatic Immunity","Cam'ron Presents The Diplomats",0
2003-04-26,"The Senior","Ginuwine",0
2003-05-03,"The New Breed","50 Cent",0
2003-05-17,"AttenCHUN!","Bone Crusher",0
2003-05-24,"Body Kiss","The Isley Brothers Featuring Ronald Isley",0
2003-06-07,"Mississippi: The Album","David Banner",0
2003-06-21,"2 Fast 2 Furious","Soundtrack",0
2003-06-28,"Dance With My Father","Luther Vandross",0
2003-07-12,"Dangerously In Love","Beyonce",0
2003-07-19,"Chapter II","Ashanti",0
2003-08-02,"Bad Boys II","Soundtrack",0
2003-08-30,"State Property Presents: The Chain Gang Vol. II","Various Artists",0
2003-09-06,"The Neptunes Present... Clones","Various Artists",0
2003-09-13,"Love & Life","Mary J. Blige",0
2003-09-27,"Drankin' Patnaz","YoungBloodZ",0
2003-10-04,"Grand Champ","DMX",0
2003-10-11,"Speakerboxxx/The Love Below","OutKast",1113
2003-10-18,"Too Hot For T.V.","Bad Boy's Da Band",0
2003-10-25,"Chicken*N*Beer","Ludacris",0
2003-11-01,"Hard","Jagged Edge",0
2003-11-15,"Stroke Of Genius","Gerald Levert",0
2003-11-22,"Blood In My Eye","Ja Rule",0
2003-11-29,"The Black Album","Jay-Z",1125
2003-12-20,"The Diary Of Alicia Keys","Alicia Keys",0
2004-01-31,"Soulful","Ruben Studdard",0
2004-02-14,"Kamikaze","Twista",0
2004-02-28,"The College Dropout","Kanye West",1153
2004-03-13,"Tough Luv","Young Gunz",0
2004-03-27,"Bad Boy's 10th Anniversary... The Hits","Various Artists",0
2004-04-03,"Split Personality","Cassidy",0
2004-04-10,"Confessions","Usher",1187
2004-05-08,"Hurt No More","Mario Winans",0
2004-05-15,"D12 World","D12",0
2004-05-29,"Living Legends","8Ball & MJG",0
2004-06-05,"Tical 0: The Prequel","Method Man",0
2004-07-03,"To The 5 Boroughs","Beastie Boys",0
2004-07-10,"Kiss Of Death","Jadakiss",0
2004-07-17,"The Hunger For More","Lloyd Banks",0
2004-08-14,"True Story","Terror Squad",0
2004-08-28,"Godfather Buried Alive","Shyne",0
2004-09-04,"The Hard Way","213",0
2004-09-11,"Happy People/U Saved Me","R. Kelly",0
2004-09-18,"Beautifully Human: Words And Sounds Vol. 2","Jill Scott",0
2004-09-25,"My Everything","Anita Baker",0
2004-10-02,"Suit","Nelly",0
2004-10-16,"Goodies","Ciara",0
2004-11-20,"Thug Matrimony: Married To The Streets","Trick Daddy",0
2004-11-27,"Encore","Eminem",0
2004-12-11,"Destiny Fulfilled","Destiny's Child",0
2004-12-18,"Urban Legend","T.I.",0
2004-12-25,"The Red Light District","Ludacris",0
2005-01-01,"Loyal To The Game","2Pac",0
2005-01-15,"Get Lifted","John Legend",1219
2005-02-05,"The Documentary","The Game",0
2005-03-12,"O","Omarion",0
2005-03-19,"The Massacre","50 Cent",0
2005-04-16,"The B. Coming","Beanie Sigel",0
2005-04-23,"The First Lady","Faith Evans",0
2005-04-30,"The Emancipation Of Mimi","Mariah Carey",0
2005-05-07,"Who Is Mike Jones?","Mike Jones",0
2005-05-14,"Disturbing Tha Peace Presents Bobby Valentino","Bobby Valentino",0
2005-06-04,"Album II","Kem",0
2005-06-11,"Be","Common",1207
2005-06-25,"Monkey Business","The Black Eyed Peas",0
2005-07-09,"Boyz N Da Hood","Boyz N Da Hood",0
2005-07-16,"U.S.A.: United State Of Atlanta","Ying Yang Twins",0
2005-07-23,"TP.3 Reloaded","R. Kelly",0
2005-08-06,"Now 19","Various Artists",0
2005-08-13,"Let's Get It: Thug Motivation 101","Young Jeezy",0
2005-09-10,"Harlem: Diary Of A Summer","Jim Jones",0
2005-09-17,"Late Registration","Kanye West",1193
2005-10-01,"The Peoples Champ","Paul Wall",0
2005-10-08,"So Amazing: An All-Star Tribute To Luther Vandross","Various Artists",0
2005-10-15,"Most Known Unknown","Three 6 Mafia",0
2005-10-22,"The Day After","Twista",0
2005-10-29,"Unplugged","Alicia Keys",0
2005-11-05,"Trill","Bun-B",0
2005-11-12,"#1's","Destiny's Child",0
2005-12-10,"What The Game's Been Missing!","Juelz Santana",0
2005-12-17,"Chris Brown","Chris Brown",0
2005-12-24,"Tha Carter II","Lil' Wayne",0
2005-12-31,"Disturbing Tha Peace","Ludacris And DTP",0
2006-01-07,"The Breakthrough","Mary J. Blige",0
2006-02-18,"In My Mind","Heather Headley",0
2006-03-04,"Ghetto Classics","Jaheim",0
2006-03-18,"In My Own Words","Ne-Yo",0
2006-03-25,"Reality Check","Juvenile",0
2006-04-01,"My Ghetto Report Card","E-40",0
2006-04-08,"3121","Prince",0
2006-04-15,"King","T.I.",1261
2006-05-13,"Director","Avant",0
2006-05-20,"Blood Money","Mobb Deep",0
2006-05-27,"Baby Makin' Music","The Isley Brothers Featuring Ronald Isley",0
2006-06-03,"Killa Season","Cam'Ron",0
2006-06-24,"New Joc City","Yung Joc",0
2006-07-01,"The Big Bang","Busta Rhymes",0
2006-07-08,"Journey Of A Gemini","Donell Jones",0
2006-07-15,"Testimony: Vol. 1, Life & Relationship","India.Arie",0
2006-07-29,"Pimpalation","Pimp C",0
2006-08-12,"LeToya","LeToya",0
2006-08-19,"Year Of The Dog...Again","DMX",0
2006-08-26,"Port Of Miami","Rick Ross",0
2006-09-02,"The Phoenix","Lyfe Jennings",0
2006-09-09,"Idlewild (Soundtrack)","OutKast",0
2006-09-16,"Best Thang Smokin'","Young Dro",0
2006-09-23,"B'Day","Beyonce",0
2006-09-30,"FutureSex/LoveSounds","Justin Timberlake",0
2006-10-14,"20 Y.O.","Janet Jackson",0
2006-10-21,"The Makings Of Me","Monica",0
2006-10-28,"Rotten Apple","Lloyd Banks",0
2006-11-04,"Press Play","Diddy",0
2006-11-11,"Once Again","John Legend",0
2006-11-18,"Like Father, Like Son","Birdman & Lil Wayne",0
2006-11-25,"Hustler's P.O.M.E. (Product Of My Environment)","Jim Jones",0
2006-12-02,"Doctor's Advocate","The Game",0
2006-12-09,"Kingdom Come","Jay-Z",0
2006-12-23,"Ciara: The Evolution","Ciara",0
2006-12-30,"The Inspiration","Young Jeezy",0
2007-01-06,"Hip Hop Is Dead","Nas",0
2007-01-13,"21","Omarion",0
2007-01-20,"Dreamgirls","Soundtrack",0
2007-02-10,"Late Night Special","Pretty Ricky",0
2007-02-17,"The Evolution Of Robin Thicke","Robin Thicke",0
2007-03-03,"In My Songs","Gerald Levert",0
2007-03-31,"Luvanmusiq","Musiq Soulchild",0
2007-04-07,"Veteran","Marques Houston",0
2007-04-14,"Buck The World","Young Buck",0
2007-05-12,"Ain't Nothing Like Me","Joe",0
2007-05-19,"Because Of You","Ne-Yo",0
2007-05-26,"Special Occasion","Bobby Valentino",0
2007-06-02,"Sex Love & Pain","Tank",0
2007-06-09,"Cold Summer: The Authorized Mixtape","Young Jeezy Presents U.S.D.A.",0
2007-06-16,"Double Up","R. Kelly",0
2007-06-23,"Epiphany","T-Pain",0
2007-06-30,"From Nothin' To Somethin'","Fabolous",0
2007-07-21,"T.I. Vs T.I.P.","T.I.",0
2007-08-11,"Planet Earth","Prince",0
2007-08-18,"Finding Forever","Common",0
2007-08-25,"Underground Kingz","UGK",1311
2007-09-08,"One Man Band Man","Swizz Beatz",0
2007-09-15,"Hustlenomics","Yung Joc",0
2007-09-22,"Hustlenomic$","Yung Joc",0
2007-09-29,"Graduation","Kanye West",1278
2007-10-13,"Just Like You","Keyshia Cole",0
2007-10-20,"Back Of My Lac'","J. Holiday",0
2007-11-03,"The Art Of Love & War","Angie Stone",0
2007-11-17,"After Tonight","Will Downing",0
2007-11-24,"American Gangster","Jay-Z",1290
2007-12-01,"As I Am","Alicia Keys",0
2008-01-05,"Growing Pains","Mary J. Blige",0
2008-02-02,"Love Behind The Melody","Raheem DeVaughn",0
2008-03-15,"Discipline","Janet",0
2008-03-29,"Trilla","Rick Ross",0
2008-04-05,"Welcome To The Dollhouse","Danity Kane",0
2008-04-12,"DAY26","DAY26",0
2008-04-19,"Still Da Baddest","Trina",0
2008-04-26,"All I Feel","Ray J",0
2008-05-03,"E=MC2","Mariah Carey",0
2008-05-17,"Lyfe Change","Lyfe Jennings",0
2008-05-31,"Just Me","Keith Sweat",0
2008-06-07,"II Trill","Bun-B",0
2008-06-14,"Here I Stand","Usher",0
2008-06-28,"Tha Carter III","Lil Wayne",1318
2008-08-02,"Untitled","Nas",0
2008-08-23,"Lessons In Love","Lloyd",0
2008-09-06,"Raw Footage","Ice Cube",0
2008-09-13,"LAX","The Game",0
2008-09-20,"The Recession","Young Jeezy",0
2008-10-04,"Year Of The Gentleman","Ne-Yo",0
2008-10-11,"Fearless","Jazmine Sullivan",0
2008-10-18,"Paper Trail","T.I.",1352
2008-11-15,"Evolver","John Legend",0
2008-11-29,"Thr33 Ringz","T-Pain",0
2008-12-06,"I Am...Sasha Fierce","Beyonce",0
2008-12-13,"808s & Heartbreak","Kanye West",1322
2008-12-27,"onmyradio","Musiq Soulchild",0
2009-01-03,"A Different Me","Keyshia Cole",0
2009-01-31,"Notorious","Soundtrack",0
2009-02-21,"Intuition","Jamie Foxx",0
2009-02-28,"The Rebirth","Bobby Valentino",0
2009-03-07,"Uncle Charlie","Charlie Wilson",0
2009-03-28,"Love VS Money","The-Dream",0
2009-04-11,"In A Perfect World...","Keri Hilson",0
2009-04-18,"Lotus Flow3r/MPLSoUND/Elix3r","Prince/Bria Valente",0
2009-04-25,"The Last Kiss","Jadakiss",0
2009-05-02,"Forever In A Day","DAY26",0
2009-05-09,"Deeper Than Rap","Rick Ross",0
2009-05-30,"Crime Pays","Cam'Ron",0
2009-06-06,"Relapse","Eminem",0
2009-06-27,"The E.N.D.","The Black Eyed Peas",0
2009-07-11,"A Man's Thoughts","Ginuwine",0
2009-07-18,"Jeremih","Jeremih",0
2009-07-25,"BLACKsummers'night","Maxwell",1366
2009-08-15,"Loso's Way (Soundtrack)","Fabolous",0
2009-08-22,"I Get Around","K'Jon",0
2009-09-05,"Turn Me Loose","Ledisi",0
2009-09-12,"Lady Love","LeToya",0
2009-09-19,"I Look To You","Whitney Houston",0
2009-09-26,"The Blueprint 3","Jay-Z",1379
2009-10-17,"Memoirs Of An Imperfect Angel","Mariah Carey",0
2009-11-14,"Michael Jackson's This Is It (Soundtrack)","Michael Jackson",0
2009-12-05,"Before I Self-Destruct","50 Cent",0
2009-12-12,"Rated R","Rihanna",0
2009-12-26,"Graffiti","Chris Brown",0
2010-01-02,"The Element Of Freedom","Alicia Keys",0
2010-01-09,"Stronger withEach Tear","Mary J. Blige",0
2010-02-20,"Rebirth","Lil Wayne",0
2010-02-27,"Soldier Of Love","Sade",0
