"date","song","artist","index"
1987-11-21,"Mony Mony","Billy Idol",0
1987-11-28,"(I ve Had) The Time Of My Life","Bill Medley",0
1987-12-05,"Heaven Is A Place On Earth","Belinda Carlisle",0
1987-12-12,"Faith","George Michael",232
1988-01-09,"So Emotional","Whitney Houston",0
1988-01-16,"Got My Mind Set On You","George Harrison",0
1988-01-23,"The Way You Make Me Feel","Michael Jackson",231
1988-01-30,"Need You Tonight","INXS",0
1988-02-06,"Could ve Been","Tiffany",0
1988-02-20,"Seasons Change","Expose",0
1988-02-27,"Father Figure","George Michael",0
1988-03-12,"Never Gonna Give You Up","Rick Astley",0
1988-03-26,"Man In The Mirror","Michael Jackson",254
1988-04-09,"Get Outta My Dreams, Get Into My Car","Billy Ocean",0
1988-04-23,"Where Do Broken Hearts Go","Whitney Houston",0
1988-05-07,"Wishing Well","Terence Trent D Arby",245
1988-05-14,"Anything For You","Gloria Estefan & Miami Sound Machine",0
1988-05-28,"One More Try","George Michael",0
1988-06-18,"Together Forever","Rick Astley",0
1988-06-25,"Foolish Beat","Debbie Gibson",0
1988-07-02,"Dirty Diana","Michael Jackson",0
1988-07-09,"The Flame","Cheap Trick",0
1988-07-23,"Hold On To The Nights","Richard Marx",0
1988-07-30,"Roll With It","Steve Winwood",0
1988-08-27,"Monkey","George Michael",0
1988-09-10,"Sweet Child O Mine","Guns N Roses",0
1988-09-24,"Don t Worry, Be Happy (From Cocktail)","Bobby McFerrin",0
1988-10-08,"Love Bites","Def Leppard",0
1988-10-15,"Red Red Wine","UB40",0
1988-10-22,"Groovy Kind Of Love","Phil Collins",0
1988-11-05,"Kokomo (From The Cocktail Soundtrack)","The Beach Boys",0
1988-11-12,"Wild, Wild West","The Escape Club",0
1988-11-19,"Bad Medicine","Bon Jovi",0
1988-12-03,"Baby, I Love Your Way/Freebird Medley","Will To Power",0
1988-12-10,"Look Away","Chicago",0
1988-12-24,"Every Rose Has Its Thorn","Poison",0
1989-01-14,"My Prerogative","Bobby Brown",241
1989-01-21,"Two Hearts","Phil Collins",0
1989-02-04,"When I m With You","Sheriff",0
1989-02-11,"Straight Up","Paula Abdul",281
1989-03-04,"Lost In Your Eyes","Debbie Gibson",0
1989-03-25,"The Living Years","Mike",0
1989-04-01,"Eternal Flame","Bangles",0
1989-04-08,"The Look","Roxette",0
1989-04-15,"She Drives Me Crazy","Fine Young Cannibals",262
1989-04-22,"Like A Prayer","Madonna",265
1989-05-13,"I ll Be There For You","Bon Jovi",0
1989-05-20,"Forever Your Girl","Paula Abdul",0
1989-06-03,"Rock On (From Dream A Little Dream)","Michael Damian",0
1989-06-10,"Wind Beneath My Wings (From Beaches)","Bette Midler",0
1989-06-17,"I ll Be Loving You (Forever)","New Kids On The Block",0
1989-06-24,"Satisfied","Richard Marx",0
1989-07-01,"Baby Don t Forget My Number","Milli Vanilli",0
1989-07-08,"Good Thing","Fine Young Cannibals",0
1989-07-15,"If You Don t Know Me By Now","Simply Red",0
1989-07-22,"Toy Soldiers","Martika",0
1989-08-05,"Batdance (From Batman)","The Artist",0
1989-08-12,"Right Here Waiting","Richard Marx",0
1989-09-02,"Cold Hearted","Paula Abdul",0
1989-09-09,"Hangin Tough","New Kids On The Block",0
1989-09-16,"Don t Wanna Lose You","Gloria Estefan",0
1989-09-23,"Girl I m Gonna Miss You","Milli Vanilli",0
1989-10-07,"Miss You Much","Janet Jackson",0
1989-11-04,"Listen To Your Heart","Roxette",0
1989-11-11,"When I See You Smile","Bad English",0
1989-11-25,"Blame It On The Rain","Milli Vanilli",0
1989-12-09,"We Didn t Start The Fire","Billy Joel",0
1989-12-23,"Another Day In Paradise","Phil Collins",0
1990-01-20,"How Am I Supposed To Live Without You","Michael Bolton",0
1990-02-10,"Opposites Attract","Paula Abdul (Duet With The Wild Pair)",0
1990-03-03,"Escapade","Janet Jackson",0
1990-03-24,"Black Velvet","Alannah Myles",0
1990-04-07,"Love Will Lead You Back","Taylor Dayne",0
1990-04-14,"I ll Be Your Everything","Tommy Page",0
1990-04-21,"Nothing Compares 2 U","Sinead O Connor",285
1990-05-19,"Vogue","Madonna",287
1990-06-09,"Hold On","Wilson Phillips",297
1990-06-16,"It Must Have Been Love (From Pretty Woman)","Roxette",0
1990-06-30,"Step By Step","New Kids On The Block",0
1990-07-21,"She Ain t Worth It","Glenn Medeiros Featuring Bobby Brown",0
1990-08-04,"Vision Of Love","Mariah Carey",0
1990-09-01,"If Wishes Came True","Sweet Sensation",0
1990-09-08,"Blaze Of Glory (From Young Guns II)","Jon Bon Jovi",0
1990-09-15,"Release Me","Wilson Phillips",0
1990-09-29,"(Can t Live Without Your) Love And Affection","Nelson",0
1990-10-06,"Close To You","Maxi Priest",0
1990-10-13,"Praying For Time","George Michael",0
1990-10-20,"I Don t Have The Heart","James Ingram",0
1990-10-27,"Black Cat","Janet Jackson",0
1990-11-03,"Ice Ice Baby","Vanilla Ice",0
1990-11-10,"Love Takes Time","Mariah Carey",0
1990-12-01,"I m Your Baby Tonight","Whitney Houston",0
1990-12-08,"Because I Love You (The Postman Song)","Stevie B",0
1991-01-05,"Justify My Love","Madonna",291
1991-01-19,"Love Will Never Do (Without You)","Janet Jackson",0
1991-01-26,"The First Time","Surface",0
1991-02-09,"Gonna Make You Sweat","C+C Music Factory",305
1991-02-23,"All The Man That I Need","Whitney Houston",0
1991-03-09,"Someday","Mariah Carey",0
1991-03-30,"Coming Out Of The Dark","Gloria Estefan",0
1991-04-13,"I ve Been Thinking About You","Londonbeat",0
1991-04-20,"You re In Love","Wilson Phillips",0
1991-04-27,"Baby Baby","Amy Grant",0
1991-05-11,"Joyride","Roxette",0
1991-05-18,"I Like The Way (The Kissing Game)","Hi-Five",0
1991-05-25,"I Don t Wanna Cry","Mariah Carey",0
1991-06-08,"More Than Words","Extreme",0
1991-06-15,"Rush Rush","Paula Abdul",0
1991-07-20,"Unbelievable","EMF",318
1991-07-27,"(Everything I Do) I Do It For You (From Robin Hood)","Bryan Adams",0
1991-09-14,"The Promise Of A New Day","Paula Abdul",0
1991-09-21,"I Adore Mi Amor","Color Me Badd",0
1991-10-05,"Good Vibrations","Marky Mark",0
1991-10-12,"Emotions","Mariah Carey",0
1991-11-02,"Romantic","Karyn White",0
1991-11-09,"Cream","Prince And The N.P.G.",323
1991-11-23,"When A Man Loves A Woman","Michael Bolton",0
1991-11-30,"Set Adrift On Memory Bliss","P.M. Dawn",314
1991-12-07,"Black Or White","Michael Jackson",327
1992-01-25,"All 4 Love","Color Me Badd",0
1992-02-01,"Don t Let The Sun Go Down On Me","George Michael/Elton John",0
1992-02-08,"I m Too Sexy","Right Said Fred",0
1992-02-29,"To Be With You","Mr. Big",0
1992-03-21,"Save The Best For Last","Vanessa Williams",0
1992-06-20,"I ll Be There","Mariah Carey",0
1992-07-04,"Baby Got Back","Sir Mix-A-Lot",344
1992-08-08,"This Used To Be My Playground","Madonna",0
1992-08-15,"End Of The Road (From Boomerang)","Boyz II Men",0
1992-11-14,"How Do You Talk To An Angel","The Heights",0
1992-11-28,"I Will Always Love You (From The Bodyguard)","Whitney Houston",0
1993-03-06,"A Whole New World (Aladdin s Theme)","Peabo Bryson",0
1993-03-13,"Informer","Snow",391
1993-05-01,"Freak Me","Silk",0
1993-05-15,"That s The Way Love Goes","Janet Jackson",0
1993-07-10,"Weak","SWV",0
1993-07-24,"Can t Help Falling In Love (From Sliver)","UB40",0
1993-09-11,"Dreamlover","Mariah Carey",0
1993-11-06,"I d Do Anything For Love (But I Won t Do That)","Meat Loaf",0
1993-11-13,"I'd Do Anything For Love (But I Won't Do That)","Meat Loaf",0
1993-12-11,"Again","Janet Jackson",0
1993-12-25,"Hero","Mariah Carey",0
